time	Ix(U1:TE)/V(vin)
8.760816159999568e-02	4.449582e-04
8.799999999999999e-02	1.306557e-07
9.600000000000000e-02	0.000000e+00
9.600975763158380e-02	4.042686e-07
9.602927289475138e-02	1.922533e-06
9.606096947366483e-02	1.164480e-05
9.610000000000000e-02	2.599517e-05
9.710000000000001e-02	2.599487e-05
9.711000000000000e-02	1.882652e-05
9.713000000000001e-02	9.807104e-06
9.716000000000001e-02	3.819155e-06
9.720000000000001e-02	0.000000e+00
9.800000000000000e-02	1.306559e-07
9.802920000000001e-02	1.987600e-07
9.808760000000001e-02	8.226730e-07
9.820440000000001e-02	1.814868e-05
9.843800000000003e-02	8.696140e-05
9.853279999999996e-02	3.135322e-04
9.872239999999984e-02	3.739930e-03
9.899999999999999e-02	1.140704e-02
9.924984000000013e-02	1.140701e-02
9.949968000000027e-02	1.140699e-02
9.974952000000041e-02	1.140696e-02
9.999936000000055e-02	1.140694e-02
1.002492000000007e-01	1.140691e-02
1.004990400000008e-01	1.140689e-02
1.007488800000010e-01	1.140686e-02
1.025255200000020e-01	1.140669e-02
1.064467199999980e-01	1.140633e-02
1.078934399999960e-01	1.140620e-02
1.090000000000000e-01	1.140611e-02
1.091000000000000e-01	6.817535e-03
1.093000000000000e-01	2.329127e-03
1.096000000000000e-01	4.217084e-04
1.100000000000000e-01	1.306555e-07
1.180000000000000e-01	0.000000e+00
1.180100000000000e-01	4.200039e-07
1.180300000000000e-01	1.867926e-06
1.180600000000000e-01	1.128516e-05
1.181000000000000e-01	2.599936e-05
1.191000000000000e-01	2.599906e-05
1.191092000000000e-01	1.918260e-05
1.191276000000000e-01	1.095640e-05
1.191644000000000e-01	4.088291e-06
1.192000000000000e-01	0.000000e+00
1.200000000000000e-01	1.306556e-07
1.200347880000000e-01	2.368702e-07
1.201043640000000e-01	1.459255e-06
1.202435160000000e-01	4.750462e-05
1.205218200000001e-01	4.085499e-03
1.210000000000000e-01	1.140648e-02
1.214303619999999e-01	1.140644e-02
1.218607239999999e-01	1.140640e-02
1.222910859999998e-01	1.140637e-02
1.227214479999997e-01	1.140633e-02
1.231518099999996e-01	1.140629e-02
1.235821719999996e-01	1.140626e-02
1.240125339999995e-01	1.140622e-02
