time	V(n001)
1.099993000000000e-01	-2.100000e+00
1.099997000000000e-01	-9.000000e-01
1.100000000000000e-01	0.000000e+00
1.199900000000000e-01	0.000000e+00
1.199901000000000e-01	-3.000000e-01
1.199903000000000e-01	-9.000000e-01
1.199907000000000e-01	-2.100000e+00
1.199910000000000e-01	-3.000000e+00
1.199910800000000e-01	-3.000000e+00
1.199912400000000e-01	-3.000000e+00
1.199915600000000e-01	-3.000000e+00
1.199922000000000e-01	-3.000000e+00
1.199934800000000e-01	-3.000000e+00
1.199960400000000e-01	-3.000000e+00
1.199990000000000e-01	-3.000000e+00
1.199991000000000e-01	-2.700000e+00
1.199993000000000e-01	-2.100000e+00
1.199997000000000e-01	-9.000000e-01
1.200000000000000e-01	0.000000e+00
1.299900000000000e-01	0.000000e+00
1.299901000000000e-01	-3.000000e-01
1.299903000000000e-01	-9.000000e-01
1.299907000000000e-01	-2.100000e+00
1.299910000000000e-01	-3.000000e+00
1.299910800000000e-01	-3.000000e+00
1.299912400000000e-01	-3.000000e+00
1.299915600000000e-01	-3.000000e+00
1.299922000000000e-01	-3.000000e+00
1.299934800000000e-01	-3.000000e+00
1.299960400000000e-01	-3.000000e+00
1.299990000000000e-01	-3.000000e+00
1.299991000000000e-01	-2.700000e+00
1.299993000000000e-01	-2.100000e+00
1.299997000000000e-01	-9.000000e-01
1.300000000000000e-01	0.000000e+00
1.399900000000000e-01	0.000000e+00
1.399901000000000e-01	-3.000000e-01
1.399903000000000e-01	-9.000000e-01
1.399907000000000e-01	-2.100000e+00
1.399910000000000e-01	-3.000000e+00
1.399910800000000e-01	-3.000000e+00
1.399912400000000e-01	-3.000000e+00
1.399915600000000e-01	-3.000000e+00
1.399922000000000e-01	-3.000000e+00
1.399934800000000e-01	-3.000000e+00
1.399960400000000e-01	-3.000000e+00
1.399990000000000e-01	-3.000000e+00
1.399991000000000e-01	-2.700000e+00
1.399993000000000e-01	-2.100000e+00
1.399997000000000e-01	-9.000000e-01
1.400000000000000e-01	0.000000e+00
1.499900000000000e-01	0.000000e+00
1.499901000000000e-01	-3.000000e-01
1.499903000000000e-01	-9.000000e-01
1.499907000000000e-01	-2.100000e+00
1.499910000000000e-01	-3.000000e+00
1.499910800000000e-01	-3.000000e+00
1.499912400000000e-01	-3.000000e+00
1.499915600000000e-01	-3.000000e+00
1.499922000000000e-01	-3.000000e+00
1.499934800000000e-01	-3.000000e+00
1.499960400000000e-01	-3.000000e+00
1.499990000000000e-01	-3.000000e+00
1.499991000000000e-01	-2.700000e+00
1.499993000000000e-01	-2.100000e+00
1.499997000000000e-01	-9.000000e-01
1.500000000000000e-01	0.000000e+00
1.599900000000000e-01	0.000000e+00
1.599901000000000e-01	-3.000000e-01
1.599903000000000e-01	-9.000000e-01
1.599907000000000e-01	-2.100000e+00
1.599910000000000e-01	-3.000000e+00
1.599910800000000e-01	-3.000000e+00
1.599912400000000e-01	-3.000000e+00
1.599915600000000e-01	-3.000000e+00
1.599922000000000e-01	-3.000000e+00
1.599934800000000e-01	-3.000000e+00
1.599960400000000e-01	-3.000000e+00
1.599990000000000e-01	-3.000000e+00
1.599991000000000e-01	-2.700000e+00
1.599993000000000e-01	-2.100000e+00
1.599997000000000e-01	-9.000000e-01
1.600000000000000e-01	0.000000e+00
1.699900000000000e-01	0.000000e+00
1.699901000000000e-01	-3.000000e-01
1.699903000000000e-01	-9.000000e-01
1.699907000000000e-01	-2.100000e+00
1.699910000000000e-01	-3.000000e+00
1.699910800000000e-01	-3.000000e+00
1.699912400000000e-01	-3.000000e+00
1.699915600000000e-01	-3.000000e+00
1.699922000000000e-01	-3.000000e+00
1.699934800000000e-01	-3.000000e+00
1.699960400000000e-01	-3.000000e+00
1.699990000000000e-01	-3.000000e+00
1.699991000000000e-01	-2.700000e+00
1.699993000000000e-01	-2.100000e+00
1.699997000000000e-01	-9.000000e-01
1.700000000000000e-01	0.000000e+00
1.799900000000000e-01	0.000000e+00
1.799901000000000e-01	-3.000000e-01
1.799903000000000e-01	-9.000000e-01
1.799907000000000e-01	-2.100000e+00
1.799910000000000e-01	-3.000000e+00
1.799910800000000e-01	-3.000000e+00
1.799912400000000e-01	-3.000000e+00
1.799915600000000e-01	-3.000000e+00
1.799922000000000e-01	-3.000000e+00
1.799934800000000e-01	-3.000000e+00
1.799960400000000e-01	-3.000000e+00
1.799990000000000e-01	-3.000000e+00
1.799991000000000e-01	-2.700000e+00
1.799993000000000e-01	-2.100000e+00
1.799997000000000e-01	-9.000000e-01
1.800000000000000e-01	0.000000e+00
1.899900000000000e-01	0.000000e+00
1.899901000000000e-01	-3.000000e-01
1.899903000000000e-01	-9.000000e-01
1.899907000000000e-01	-2.100000e+00
1.899910000000000e-01	-3.000000e+00
1.899910800000000e-01	-3.000000e+00
1.899912400000000e-01	-3.000000e+00
1.899915600000000e-01	-3.000000e+00
1.899922000000000e-01	-3.000000e+00
1.899934800000000e-01	-3.000000e+00
1.899960400000000e-01	-3.000000e+00
1.899990000000000e-01	-3.000000e+00
1.899991000000000e-01	-2.700000e+00
1.899993000000000e-01	-2.100000e+00
1.899997000000000e-01	-9.000000e-01
1.900000000000000e-01	0.000000e+00
1.999900000000000e-01	0.000000e+00
1.999901000000000e-01	-3.000000e-01
1.999903000000000e-01	-9.000000e-01
1.999907000000000e-01	-2.100000e+00
1.999910000000000e-01	-3.000000e+00
1.999910800000000e-01	-3.000000e+00
1.999912400000000e-01	-3.000000e+00
1.999915600000000e-01	-3.000000e+00
1.999922000000000e-01	-3.000000e+00
1.999934800000000e-01	-3.000000e+00
1.999960400000000e-01	-3.000000e+00
1.999990000000000e-01	-3.000000e+00
1.999991000000000e-01	-2.700000e+00
1.999993000000000e-01	-2.100000e+00
1.999997000000000e-01	-9.000000e-01
2.000000000000000e-01	0.000000e+00
2.099900000000000e-01	0.000000e+00
2.099901000000000e-01	-3.000000e-01
2.099903000000000e-01	-9.000000e-01
2.099907000000000e-01	-2.100000e+00
2.099910000000000e-01	-3.000000e+00
2.099912400000000e-01	-3.000000e+00
2.099915600000000e-01	-3.000000e+00
2.099922000000000e-01	-3.000000e+00
2.099934800000000e-01	-3.000000e+00
2.099960400000000e-01	-3.000000e+00
2.099990000000000e-01	-3.000000e+00
2.099991000000000e-01	-2.700000e+00
2.099993000000000e-01	-2.100000e+00
2.099997000000000e-01	-9.000000e-01
2.100000000000000e-01	0.000000e+00
2.199900000000000e-01	0.000000e+00
2.199901000000000e-01	-3.000000e-01
2.199903000000000e-01	-9.000000e-01
2.199907000000000e-01	-2.100000e+00
2.199910000000000e-01	-3.000000e+00
2.199912400000000e-01	-3.000000e+00
2.199915600000000e-01	-3.000000e+00
2.199922000000000e-01	-3.000000e+00
2.199934800000000e-01	-3.000000e+00
2.199960400000000e-01	-3.000000e+00
2.199990000000000e-01	-3.000000e+00
2.199991000000000e-01	-2.700000e+00
2.199993000000000e-01	-2.100000e+00
2.199997000000000e-01	-9.000000e-01
2.200000000000000e-01	0.000000e+00
2.299900000000000e-01	0.000000e+00
2.299901000000000e-01	-3.000000e-01
2.299903000000000e-01	-9.000000e-01
2.299907000000000e-01	-2.100000e+00
2.299910000000000e-01	-3.000000e+00
2.299910800000000e-01	-3.000000e+00
2.299912400000000e-01	-3.000000e+00
2.299915600000000e-01	-3.000000e+00
2.299922000000000e-01	-3.000000e+00
2.299934800000000e-01	-3.000000e+00
2.299960400000000e-01	-3.000000e+00
2.299990000000000e-01	-3.000000e+00
2.299991000000000e-01	-2.700000e+00
2.299993000000000e-01	-2.100000e+00
2.299997000000000e-01	-9.000000e-01
2.300000000000000e-01	0.000000e+00
2.399900000000000e-01	0.000000e+00
2.399901000000000e-01	-3.000000e-01
2.399903000000000e-01	-9.000000e-01
2.399907000000000e-01	-2.100000e+00
2.399910000000000e-01	-3.000000e+00
2.399912400000000e-01	-3.000000e+00
2.399915600000000e-01	-3.000000e+00
2.399922000000000e-01	-3.000000e+00
2.399934800000000e-01	-3.000000e+00
2.399960400000000e-01	-3.000000e+00
2.399990000000000e-01	-3.000000e+00
2.399991000000000e-01	-2.700000e+00
2.399993000000000e-01	-2.100000e+00
2.399997000000000e-01	-9.000000e-01
2.400000000000000e-01	0.000000e+00
2.499900000000000e-01	0.000000e+00
2.499901000000000e-01	-3.000000e-01
2.499903000000000e-01	-9.000000e-01
2.499907000000000e-01	-2.100000e+00
2.499910000000000e-01	-3.000000e+00
2.499912400000000e-01	-3.000000e+00
2.499915600000000e-01	-3.000000e+00
2.499922000000000e-01	-3.000000e+00
2.499934800000000e-01	-3.000000e+00
2.499960400000000e-01	-3.000000e+00
2.499990000000000e-01	-3.000000e+00
2.499991000000000e-01	-2.700000e+00
2.499993000000000e-01	-2.100000e+00
2.499997000000000e-01	-9.000000e-01
2.500000000000000e-01	0.000000e+00
2.599900000000000e-01	0.000000e+00
2.599901000000000e-01	-3.000000e-01
2.599903000000000e-01	-9.000000e-01
2.599907000000000e-01	-2.100000e+00
2.599910000000000e-01	-3.000000e+00
2.599912400000000e-01	-3.000000e+00
2.599915600000000e-01	-3.000000e+00
2.599922000000000e-01	-3.000000e+00
2.599934799999999e-01	-3.000000e+00
2.599960399999999e-01	-3.000000e+00
2.599990000000000e-01	-3.000000e+00
2.599991000000000e-01	-2.700000e+00
2.599993000000000e-01	-2.100000e+00
2.599997000000000e-01	-9.000000e-01
2.600000000000000e-01	0.000000e+00
2.699900000000000e-01	0.000000e+00
2.699901000000000e-01	-3.000000e-01
2.699903000000000e-01	-9.000000e-01
2.699907000000000e-01	-2.100000e+00
2.699910000000000e-01	-3.000000e+00
2.699912400000000e-01	-3.000000e+00
2.699915600000000e-01	-3.000000e+00
2.699922000000000e-01	-3.000000e+00
2.699934800000000e-01	-3.000000e+00
2.699960399999999e-01	-3.000000e+00
2.699990000000000e-01	-3.000000e+00
2.699991000000000e-01	-2.700000e+00
2.699993000000000e-01	-2.100000e+00
2.699997000000000e-01	-9.000000e-01
2.700000000000000e-01	0.000000e+00
2.799900000000000e-01	0.000000e+00
2.799901000000000e-01	-3.000000e-01
2.799903000000000e-01	-9.000000e-01
2.799907000000000e-01	-2.100000e+00
2.799910000000000e-01	-3.000000e+00
2.799912400000000e-01	-3.000000e+00
2.799915600000000e-01	-3.000000e+00
2.799922000000000e-01	-3.000000e+00
2.799934800000001e-01	-3.000000e+00
2.799960400000002e-01	-3.000000e+00
2.799990000000000e-01	-3.000000e+00
2.799991000000000e-01	-2.700000e+00
2.799993000000000e-01	-2.100000e+00
2.799997000000000e-01	-9.000000e-01
2.800000000000000e-01	0.000000e+00
2.899900000000000e-01	0.000000e+00
2.899901000000000e-01	-3.000000e-01
2.899903000000000e-01	-9.000000e-01
2.899907000000000e-01	-2.100000e+00
2.899910000000000e-01	-3.000000e+00
2.899912400000000e-01	-3.000000e+00
2.899915600000000e-01	-3.000000e+00
2.899922000000000e-01	-3.000000e+00
